Gene_ID	BHI1	BHI2	BHI3	Serum1	Serum2	Serum3
AENJPLPP_00302	4	10	9	7	13	6
AENJPLPP_00303	335	392	340	527	624	603
AENJPLPP_00304	611	609	590	668	798	772
AENJPLPP_00305	384	484	479	548	690	566
AENJPLPP_00306	391	303	334	548	496	490
AENJPLPP_00308	133	173	165	4385	4573	4359
AENJPLPP_00309	199	194	155	3211	3489	3405
AENJPLPP_00310	93	100	78	13521	14463	14080
AENJPLPP_00311	74	74	52	9033	9448	9202
AENJPLPP_00312	12	10	12	986	1174	920
AENJPLPP_00313	96	78	86	13680	13665	12721
AENJPLPP_00314	317	291	190	38851	35564	35659
AENJPLPP_00315	1047	871	920	10023	9847	9669
AENJPLPP_00316	3199	3097	2678	53474	50583	49281
AENJPLPP_00317	455	523	479	5566	5924	5771
AENJPLPP_00318	276	389	308	40	36	46
AENJPLPP_00319	145	158	148	43	75	62
AENJPLPP_00320	298	251	254	174	155	145
AENJPLPP_00321	62	39	56	56	91	48
AENJPLPP_00322	3274	3027	2738	24782	24136	23530
AENJPLPP_00323	1516	1331	1010	11593	11438	11357
AENJPLPP_00324	2627	3193	2708	21318	24209	21208
AENJPLPP_00325	391	362	386	2976	3158	2866
AENJPLPP_00326	4	0	2	1	0	0
AENJPLPP_00327	89	68	108	16	18	32
AENJPLPP_00328	86	91	101	16	22	16
AENJPLPP_00329	127	148	124	20	55	37
AENJPLPP_00330	88	100	71	52	47	30
AENJPLPP_00331	10793	10849	9048	1050	1194	1103
AENJPLPP_00332	578	642	526	145	161	132
AENJPLPP_00333	1341	1164	927	248	229	190
AENJPLPP_00334	7635	8287	7007	2023	2199	2122
AENJPLPP_00335	645	816	784	151	203	170
AENJPLPP_00336	585	461	470	651	785	712
AENJPLPP_00337	398	395	369	431	493	464
AENJPLPP_00338	10677	9548	8558	12914	14594	13371
AENJPLPP_00339	114659	113743	101382	150643	172316	151606
AENJPLPP_00340	957	1029	949	859	1046	1016
AENJPLPP_00341	275	344	307	152	248	205
AENJPLPP_00342	1171	1310	1185	1577	1859	1732
AENJPLPP_00343	686	725	648	249	246	265
AENJPLPP_00344	37067	42932	35192	1337	1561	1319
AENJPLPP_00345	11698	13003	11480	285	406	388
AENJPLPP_00346	365	466	373	235	294	354
AENJPLPP_00347	499	615	500	126	104	108
AENJPLPP_00348	212	257	192	60	66	65
AENJPLPP_00349	701	734	636	139	157	107
AENJPLPP_00350	214	260	267	138	176	118
AENJPLPP_00351	314	314	260	118	170	169
AENJPLPP_00352	1878	1689	1523	287	318	276
AENJPLPP_00353	2081	2237	1875	1252	1451	1308
AENJPLPP_00354	239	272	200	535	581	490
AENJPLPP_00355	131	153	116	178	183	136
AENJPLPP_00356	375	405	385	1024	1421	1234
AENJPLPP_00357	40	28	30	130	143	175
AENJPLPP_00358	145	118	94	1709	1820	2360
AENJPLPP_00359	18	32	18	123	169	191
AENJPLPP_00360	8	15	24	16	13	13
AENJPLPP_00361	40	52	43	4	9	3
AENJPLPP_00362	13704	15157	13667	2234	2594	2548
AENJPLPP_00363	5611	5503	5073	4318	4751	4358
AENJPLPP_00364	12706	12825	10834	10339	12224	11252
AENJPLPP_00365	4332	3968	3737	8048	8662	6823
AENJPLPP_00366	1492	1470	1281	3269	3932	2929
AENJPLPP_00367	850	683	540	1911	2380	1980
AENJPLPP_00368	553	650	618	269	353	287
AENJPLPP_00369	2045	1979	1832	1708	1908	1779
AENJPLPP_00370	1525	1598	1503	1348	1504	1379
AENJPLPP_00371	1790	1872	1643	65	87	65
AENJPLPP_00372	6675	7231	6673	619	736	656
AENJPLPP_00373	10914	11244	10552	904	1164	1025
AENJPLPP_00374	3851	3843	4130	447	603	501
AENJPLPP_00375	4195	4755	4224	4133	4744	4468
